"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1700037H04Rik",0.0226909836339192,3.99609598171777,0.147967754664863,0.438369152970923,0.015625,0.0560016906170752,0.0313019719648372,0.0134215848501563,0.107755102040816,0.0807960199004975,0.0739758325965223
"1700040D17Rik",0.00340692086420276,0.0220910302799467,0.00409831444839055,0.00884955752212389,0,0,0.00426842764690234,0,0.02,0,0
"1700040L02Rik",0,0,0.00409831444839055,0.00884955752212389,0,0,0.0035511003080497,0.0199944842801986,0.938775510204082,0,0
"1700041G16Rik",0.00058567056801695,0,0,0,0,0,0.00779922144854433,0,0.02,0,0.00854700854700855
"1700047K16Rik",0.00146378560442295,0,0,0,0,0,0,0,0,0,0
"1700047M11Rik",0.00107323688347001,0,0,0,0,0.492251338405185,0.26939169829405,0.039161610590182,0,0.00497512437810945,0.00854700854700855
"1700048O20Rik",0.0037961732211498,0.011172475084111,0.00951011894695304,0.0344500632111252,0,0,0.0190205968894493,0.00675675675675676,0,0,0.00854700854700855
"1700049G17Rik",0.0068967708964298,0.0274550879197613,0.0230020482176748,0.00884955752212389,0,0.0175401521555368,0.027370632324303,0.0328644971502114,0.02,0.00990049751243781,0.0341880341880342
"1700051O22Rik",0.00039039620754048,0.00561797752808989,0,0.00884955752212389,0,0,0,0,0,0,0
"1700052K11Rik",0.00873793187580459,0.0166634926680632,0.0257455324426405,0.00884955752212389,0,0.0351507466892082,0.0225158543048778,0,0,0.0296019900497512,0.0251989389920424
"1700054M17Rik",0.000780754286727846,0,0.00136986301369863,0,0,0,0,0,0,0,0
"1700055D18Rik",0.00039039620754048,0,0.00136986301369863,0,0,0,0.00284291089708053,0,0.02,0,0
"1700056E22Rik",0.000488100112396666,0,0.00684179867335626,0.00884955752212389,0,0.00591715976331361,0.0141252058572087,0.00675675675675676,0.02,0,0.00854700854700855
"1700056N10Rik",0.00117027354214669,0,0.00273596782982881,0,0,0,0.00426842764690234,0,0,0.00497512437810945,0
"1700063D05Rik",0.000683221959460677,0,0,0,0,0.18265708650324,0.000712250712250712,0,0,0,0
"1700066B19Rik",0.000585479926251377,0,0,0.00884955752212389,0,0,0.000712250712250712,0,0,0,0
"1700066M21Rik",0.00863891254276595,0.011172475084111,0.0121934720108236,0.0260745891276865,0,0.0782614821076359,0.0638695469415355,0.0514800514800515,0,0.00497512437810945,0.0505452402004126
"1700069L16Rik",0.000683221959460677,0,0,0,0,0,0,0,0,0,0
"1700071M16Rik",9.76276481499561e-05,0,0,0,0,0,0.0716713067033808,0.0199944842801986,0.02,0,0
"1700084C01Rik",0.000195236232123355,0,0.00136986301369863,0,0,0,0.560387996417932,0.129573451002022,0.259591836734694,0,0
"1700084C06Rik",0.00146294678065443,0,0.00136986301369863,0.00884955752212389,0,0,0.00142348609918104,0,0,0,0
"1700084E18Rik",0.000780487388256044,0,0,0,0,0,0.00566957658903489,0,0.02,0.00990049751243781,0.0341880341880342
"1700086L19Rik",0.0021442051299297,0,0,0.00884955752212389,0,0.0117638771484925,0,0,0,0,0
"1700086O06Rik",0.00651072132114438,0,0.00955521731777439,0.0175410872313527,0.0307539682539683,0.00591715976331361,0.0217782204596175,0.0199944842801986,0.0575510204081633,0,0.075744179192455
"1700086P04Rik",9.76276481499561e-05,0,0.00273596782982881,0,0,0,0.00496443315402688,0,0,0,0.0341880341880342
"1700088E04Rik",0.0014634043208918,0.0224719101123595,0.00409831444839055,0.0507269279393173,0,0.0117638771484925,0.0580253343973943,0.0527670527670528,1.40775510204082,0,0
"1700093K21Rik",0.000487947598984207,0,0.00136986301369863,0,0,0.00591715976331361,0.000712250712250712,0,0,0,0
"1700094J05Rik",0.000195236232123355,0,0,0,0,0,0,0,0,0,0
"1700096K18Rik",0.00234020392911535,0.0333904653081953,0.00820038709434955,0,0.015625,0.130952380952381,0.0573841564575706,0.0400808972237544,0.02,0.00990049751243781,0.0251989389920424
"1700101E01Rik",0,0,0,0.0175410872313527,0,0,0,0,1.72081632653061,0,0
"1700101I11Rik",0.00282346174066646,0,0.00136986301369863,0.0344500632111252,0,0.0117638771484925,0.00637370469872252,0,0.0391836734693878,0.0147761194029851,0
"1700102P08Rik",0.000780487388256044,0,0.00273596782982881,0,0,0,0,0,0,0.00497512437810945,0.00854700854700855
"1700105P06Rik",0.000487947598984207,0,0,0,0,0.00591715976331361,0.00142348609918104,0,0,0,0.00854700854700855
"1700109H08Rik",0.00311581088817272,0.00561797752808989,0.00409831444839055,0,0,0,0.000712250712250712,0,0,0,0
"1700110K17Rik",0.000487947598984207,0,0.00136986301369863,0,0,0,0.000712250712250712,0,0,0,0
"1700112D23Rik",0.00039039620754048,0.00561797752808989,0.00273596782982881,0.00884955752212389,0,0.00591715976331361,0.000712250712250712,0,0,0,0
"1700112J16Rik",0.000195236232123355,0,0,0.0260745891276865,0,0,0.00284291089708053,0,0,0,0.00854700854700855
"1700113A16Rik",0.0045713226399698,0.011172475084111,0.00545690286938384,0.0175410872313527,0,0.0294449140602987,0.0662819599027724,0.0134215848501563,0.02,0.00497512437810945,0
"1700120C14Rik",0.00340692086420276,0.00561797752808989,0.00273596782982881,0.00884955752212389,0,0,0.0113046321171767,0.0335999264570693,0,0.00497512437810945,0.0251989389920424
"1700123M08Rik",0.00253475385088264,0.00561797752808989,0.00409831444839055,0.0353982300884956,0,0.0175401521555368,0.0155507226070305,0,0.02,0,0
"1700123O20Rik",0.0958081250109738,0.190693836094712,0.041349568746829,0.194058154235145,0.0307539682539683,0.25781910397295,0.170487335847279,0.0942728442728443,0.191428571428571,0.18407960199005,0.196286472148541
"1700124L16Rik",0.00485989708051772,0.151971053132737,0.0135971588026383,0.00884955752212389,0,0,0.000712250712250712,0,0,0,0
"1810009A15Rik",0.000975761748732513,0,0,0,0,0,0.00355922291061279,0,0,0.00497512437810945,0
"1810010H24Rik",0.0119304379462674,0.00561797752808989,0.00951011894695304,0.0586283185840708,0,0.0117638771484925,0.0354120088617594,0.00675675675675676,0.02,0,0.0169466548776894
"1810011O10Rik",0,0,0,0,0.015625,0,0,0,0,0.0291044776119403,0.0505452402004126
"1810012K08Rik",0.000195236232123355,0,0.00136986301369863,0.00884955752212389,0,0.00591715976331361,0.000712250712250712,0,0,0.00497512437810945,0
"1810013L24Rik",0.0403080176129352,0.399542944201105,0.132220906853073,0.254108723135272,0,0.0782614821076359,0.107407204342343,0.0711068211068211,0.115918367346939,0.0764179104477612,0.0814913056292367
"1810014B01Rik",0.00919308909111024,0.138767218942424,0.0268260142435688,0.0586283185840708,0,0.0399408284023669,0.0853116947201053,0.0199944842801986,0.0575510204081633,0.0147761194029851,0.0169466548776894
"1810021B22Rik",0.00165768734418729,0,0.00136986301369863,0,0.015625,0.00591715976331361,0.0105771515251202,0,0,0,0.00854700854700855
