"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1110008P14Rik",0.102997168798204,0.752808988764045,0.128767123287671,0.345132743362832,0.0625,0.112426035502959,0.0576923076923077,0.0472972972972973,0.26,0.0945273631840796,0.0854700854700855
"1110012L19Rik",0.0248950502782388,0.0617977528089888,0.0178082191780822,0.106194690265487,0.03125,0.0769230769230769,0.099002849002849,0.0337837837837838,0.06,0.0298507462686567,0.0427350427350427
"1110017D15Rik",0.000390510592599824,0,0.00273972602739726,0.00884955752212389,0,0,0.00498575498575499,0.0135135135135135,1.08,0,0
"1110018N20Rik",9.76276481499561e-05,0.00561797752808989,0,0,0,0,0.00783475783475784,0,0.02,0,0.0256410256410256
"1110019D14Rik",0.0127892219076442,0.0337078651685393,0.00547945205479452,0.00884955752212389,0,0.0118343195266272,0.0206552706552707,0.0202702702702703,0.02,0.00995024875621891,0.0170940170940171
"1110020A21Rik",0.00536952064824758,0.0112359550561798,0.0136986301369863,0.00884955752212389,0,0.0118343195266272,0.0363247863247863,0.0135135135135135,0,0,0.0170940170940171
"1110025M09Rik",0.0024406912037489,0,0.00410958904109589,0.0176991150442478,0,0.00591715976331361,0.00142450142450142,0,0,0.0149253731343284,0
"1110032A03Rik",0.0388558039636825,0.151685393258427,0.0561643835616438,0.141592920353982,0.015625,0.224852071005917,0.103276353276353,0.0472972972972973,1.12,0.054726368159204,0.0598290598290598
"1110034G24Rik",0.0270428585375378,0.0280898876404494,0.0164383561643836,0.0265486725663717,0.046875,0.0118343195266272,0.0405982905982906,0.0202702702702703,0.02,0.0845771144278607,0.0170940170940171
"1110035H17Rik",0.00390510592599824,0,0.00410958904109589,0.00884955752212389,0,0,0.00213675213675214,0,0,0,0
"1110037F02Rik",0.0369032510006834,0.146067415730337,0.0671232876712329,0.0884955752212389,0,0.0473372781065089,0.0477207977207977,0.0405405405405405,0.18,0.129353233830846,0.0598290598290598
"1110038B12Rik",0.0194279019818413,0.0617977528089888,0.0205479452054795,0.0176991150442478,0.078125,0.0414201183431953,0.0249287749287749,0.0202702702702703,0.04,0.0199004975124378,0
"1110038F14Rik",0.0383676657229327,0.101123595505618,0.0589041095890411,0.123893805309735,0.0625,0.118343195266272,0.133903133903134,0.0675675675675676,0.22,0.154228855721393,0.136752136752137
"1110046J04Rik",0.00771258420384653,0.0112359550561798,0.00410958904109589,0.0707964601769911,0,0.0414201183431953,0.0249287749287749,0.0202702702702703,0,0.00995024875621891,0.0170940170940171
"1110051M20Rik",0.0475446646490286,0.466292134831461,0.135616438356164,0.407079646017699,0.03125,0.159763313609467,0.0854700854700855,0.0337837837837838,0.2,0.054726368159204,0.0256410256410256
"1110059E24Rik",0.0418822610563312,0.151685393258427,0.0493150684931507,0.150442477876106,0.046875,0.0946745562130177,0.056980056980057,0.0405405405405405,0.04,0.0746268656716418,0.111111111111111
"1110059G10Rik",0.0589670994825735,0.157303370786517,0.0835616438356164,0.221238938053097,0.0625,0.124260355029586,0.131054131054131,0.0743243243243243,0.14,0.124378109452736,0.111111111111111
"1110065P20Rik",0.0629698330567217,0.247191011235955,0.0835616438356164,0.327433628318584,0.03125,0.21301775147929,0.118233618233618,0.101351351351351,0.26,0.0398009950248756,0.196581196581197
"1190002F15Rik",0.00107390412964952,0.00561797752808989,0,0,0,0,0,0,0,0,0.0170940170940171
"1190002N15Rik",0.0785902567607146,1.59550561797753,0.156164383561644,0.0884955752212389,0,0.0591715976331361,0.051994301994302,0.114864864864865,0.02,0.0149253731343284,0.0256410256410256
"1190003K10Rik",0.000195255296299912,0.0112359550561798,0.00136986301369863,0,0,0,0.000712250712250712,0,0,0,0
"1190005I06Rik",0.000781021185199648,0.0168539325842697,0.00136986301369863,0.0265486725663717,0,0.260355029585799,0.0662393162393162,0.0878378378378378,0.14,0,0.00854700854700855
"1190007I07Rik",0.0336815386117348,0.0449438202247191,0.0287671232876712,0.0973451327433628,0,0.0355029585798817,0.0797720797720798,0.0608108108108108,0.08,0.054726368159204,0.0854700854700855
"1200014J11Rik",0.0426632822415308,0.0955056179775281,0.0438356164383562,0.168141592920354,0.046875,0.0828402366863905,0.0448717948717949,0.0135135135135135,0.14,0.144278606965174,0.0598290598290598
"1300002E11Rik",0.0211851996485405,0.0112359550561798,0.0164383561643836,0.0353982300884956,0.015625,0.0769230769230769,0.0413105413105413,0.0337837837837838,0.08,0.129353233830846,0.0598290598290598
"1500002C15Rik",0.00458849946304794,0.00561797752808989,0.00958904109589041,0.0176991150442478,0,0,0.00997150997150997,0.0135135135135135,0,0,0.00854700854700855
"1500002F19Rik",0.00117153177779947,0.00561797752808989,0,0,0,0,0.00213675213675214,0,0,0,0
"1500004A13Rik",0.0561358976862247,0.146067415730337,0.0465753424657534,0.274336283185841,0,0.21301775147929,0.032051282051282,0.00675675675675676,0,0.00497512437810945,0
"1500009C09Rik",0.00634579712974714,2.53932584269663,0.404109589041096,0.628318584070796,0,0.0532544378698225,0.0868945868945869,0.175675675675676,0.16,0.00995024875621891,0.00854700854700855
"1500009L16Rik",0.0270428585375378,0,0.00410958904109589,0.123893805309735,0,0.00591715976331361,0.0384615384615385,0.00675675675675676,0,0,0.290598290598291
"1500011B03Rik",0.0988968075759055,0.314606741573034,0.135616438356164,0.610619469026549,0.015625,0.0946745562130177,0.0534188034188034,0.0135135135135135,0.26,0.0248756218905473,0.0427350427350427
"1500011K16Rik",0.208142145855706,0.735955056179775,0.121917808219178,0.371681415929204,0.09375,0.325443786982249,0.286324786324786,0.114864864864865,0.54,0.373134328358209,0.367521367521368
"1500012F01Rik",0.0437371863711803,0.106741573033708,0.0383561643835616,0.247787610619469,0.0625,0.159763313609467,0.0826210826210826,0.0608108108108108,0.24,0.0796019900497512,0.0170940170940171
"1500012K07Rik",0.000781021185199648,0,0,0,0,0,0,0,0,0,0
